entry_time,exit_time,break_duration,department
10:01:55,18:45:42,,Accounting
09:59:56,18:24:09,32,
Unknown,,34,Accounting
08:07:23,17:04:29,cfasew,
08:03:30,Unknown,46,Logistics
Unknown,18:50:01,57,Accounting
,Unknown,62,Unknown
10:05:39,18:32:20,cfasew,Data
,18:02:45,84,Sales
08:08:22,18:06:28,42,Unknown
10:07:07,18:02:42,45,Logistics
09:47:53,16:01:11,75,
08:14:27,Unknown,47,Marketing
,16:22:37,71,
09:23:37,Unknown,45,Sales
08:31:11,18:25:37,cfasew,Data
09:02:24,16:19:42,78,Accounting
,Unknown,,
08:53:58,17:32:33,50,Finance
10:39:49,18:04:06,cfasew,
08:38:18,18:49:34,61,Data
Unknown,17:29:39,59,Logistics
Unknown,18:10:44,cfasew,
08:46:09,17:25:41,55,Finance
10:14:27,16:17:36,,
10:41:06,17:41:30,67,Data
Unknown,Unknown,33,Accounting
,Unknown,cfasew,Data
09:59:22,,64,Accounting
09:11:08,17:29:31,cfasew,
08:30:37,16:08:29,49,Unknown
,16:11:33,41,Data
09:49:17,16:20:34,41,Logistics
09:27:40,Unknown,90,Product
10:08:44,17:10:34,cfasew,Data
08:53:13,Unknown,64,IT
Unknown,,80,Unknown
09:56:23,18:29:25,72,
08:24:58,,,Logistics
09:11:55,17:37:23,71,Data
Unknown,Unknown,46,Unknown
08:39:17,17:25:20,66,Sales
08:05:19,Unknown,89,Unknown
10:52:34,16:54:43,87,Accounting
08:05:29,18:00:04,65,
Unknown,,42,Accounting
08:33:17,Unknown,61,Data
09:05:55,Unknown,80,Unknown
Unknown,17:57:33,33,Product
10:31:38,18:22:20,63,Unknown
09:07:48,17:06:51,73,Product
,17:53:06,31,Marketing
09:05:28,16:25:49,74,Product
,Unknown,63,Sales
Unknown,16:37:44,71,Unknown
Unknown,17:17:58,69,Unknown
09:54:18,Unknown,61,Sales
Unknown,17:02:41,44,IT
10:59:23,16:18:44,,Unknown
10:24:49,Unknown,69,Unknown
10:39:41,17:23:22,cfasew,Unknown
10:38:34,Unknown,74,Unknown
Unknown,18:08:40,cfasew,Finance
,18:22:47,31,Finance
Unknown,16:29:03,60,Unknown
09:33:55,Unknown,34,Finance
,16:58:13,cfasew,Unknown
,Unknown,cfasew,Data
,Unknown,50,Sales
Unknown,17:20:56,37,Logistics
10:08:19,Unknown,73,IT
08:21:30,17:12:58,45,Data
10:33:30,16:51:39,31,
Unknown,17:28:50,cfasew,Unknown
10:59:46,18:26:11,82,Finance
,,,Sales
,,cfasew,Product
09:29:19,16:46:34,86,Accounting
09:56:04,18:30:38,37,Unknown
Unknown,17:36:22,62,Unknown
08:21:47,16:39:46,68,Finance
09:47:05,18:05:30,72,Unknown
08:01:04,16:14:24,68,Unknown
Unknown,,,Accounting
10:15:53,17:32:11,cfasew,Sales
,16:21:59,77,Unknown
Unknown,16:41:52,cfasew,Accounting
09:49:23,16:12:26,43,Product
08:16:47,16:55:56,cfasew,Unknown
09:37:55,,76,Unknown
,16:52:33,34,Marketing
10:46:32,,90,Finance
08:26:42,16:41:26,35,Unknown
,Unknown,63,Logistics
,18:48:23,41,Logistics
Unknown,16:29:25,,Accounting
09:04:56,16:58:34,38,Unknown
Unknown,Unknown,60,Unknown
Unknown,17:02:42,74,Accounting
09:52:55,18:07:56,cfasew,Marketing
Unknown,18:05:36,65,Unknown
,17:36:34,71,Data
10:00:55,Unknown,cfasew,IT
Unknown,Unknown,cfasew,Logistics
Unknown,Unknown,75,
Unknown,18:23:03,79,
08:37:07,18:54:35,cfasew,Product
10:32:12,Unknown,,Data
10:42:09,18:50:31,cfasew,
,18:48:28,69,Accounting
09:19:20,Unknown,74,
08:29:39,Unknown,40,Sales
09:35:43,16:55:19,,Data
Unknown,17:07:55,40,Product
09:27:41,17:45:12,35,Product
,18:28:37,,Logistics
09:31:03,16:25:32,63,Unknown
08:28:07,16:30:47,51,Unknown
Unknown,16:09:04,,Logistics
09:42:12,17:26:22,,Unknown
10:48:44,,cfasew,Unknown
,Unknown,,Data
10:58:14,,,Unknown
10:26:53,18:23:42,41,Unknown
Unknown,Unknown,,Unknown
Unknown,16:21:20,,Unknown
08:56:48,18:33:12,cfasew,Unknown
08:19:18,16:29:38,71,Unknown
